ts,load_mbps
2022-04-30 02:00:00,42108983.333333336
2022-04-30 02:15:00,42142762.33333333
2022-04-30 02:30:00,41705414.333333366
2022-04-30 02:45:00,41569336.99999998
2022-04-30 03:00:00,40992051.33333328
2022-04-30 03:15:00,40702148.00000004
2022-04-30 03:45:00,39109290.99999997
2022-04-30 04:00:00,38331041.666666664
2022-04-30 04:15:00,37727872.333333306
2022-04-30 04:30:00,35894343.66666666
2022-04-30 04:45:00,34897181.999999985
2022-04-30 05:00:00,32714060.666666634
2022-04-30 05:15:00,31549782.333333287
2022-04-30 05:30:00,29482963.333333317
2022-04-30 05:45:00,28870836.66666664
2022-04-30 06:00:00,27429057.99999998
2022-04-30 06:15:00,26763992.33333335
2022-04-30 06:30:00,25109120.333333325
2022-04-30 06:45:00,24153899.33333334
2022-04-30 07:00:00,22867652.333333336
2022-04-30 07:15:00,22103892.33333333
2022-04-30 07:30:00,21134833.66666667
2022-04-30 07:45:00,20797139.000000004
2022-04-30 08:00:00,19698068.666666675
2022-04-30 08:15:00,19366808.666666664
2022-04-30 08:30:00,18614886.333333336
2022-04-30 08:45:00,18123417.999999985
2022-04-30 09:00:00,17405368.666666664
2022-04-30 09:15:00,17096701.000000007
2022-04-30 09:30:00,16781869.666666664
2022-04-30 09:45:00,16729699.666666675
2022-04-30 10:00:00,16629701.333333332
2022-04-30 10:15:00,16569800.666666666
2022-04-30 10:30:00,16684056.999999989
2022-04-30 10:45:00,16840290.999999996
2022-04-30 11:00:00,17317259.0
2022-04-30 11:15:00,17649801.666666664
2022-04-30 11:30:00,18112953.999999985
2022-04-30 11:45:00,18520055.99999999
2022-04-30 12:00:00,19883666.666666653
2022-04-30 12:15:00,20355767.333333332
2022-04-30 12:30:00,21298023.999999993
2022-04-30 12:45:00,21700956.333333336
2022-04-30 13:00:00,22678140.33333334
2022-04-30 13:15:00,23311742.333333347
2022-04-30 13:30:00,24574061.333333332
2022-04-30 13:45:00,25041563.33333332
2022-04-30 14:00:00,25826001.333333354
2022-04-30 14:15:00,26214931.666666675
2022-04-30 14:30:00,26514349.000000007
2022-04-30 14:45:00,26812590.666666668
2022-04-30 15:00:00,27569452.33333334
2022-04-30 15:15:00,28100704.333333313
2022-04-30 15:30:00,28817309.333333362
2022-04-30 15:45:00,28698790.999999993
2022-04-30 16:00:00,28882457.999999993
2022-04-30 16:15:00,28951092.666666698
2022-04-30 16:30:00,28637440.666666683
2022-04-30 16:45:00,28725514.666666664
